FacultyID,Name,Experience
1,Gabrielle Hicks,11
2,Michael Nguyen,2
3,Lucas Bartlett,2
4,Jennifer Barrett,12
5,Felicia Ellis,12
6,Alexander Hamilton,6
7,Julia Taylor,6
8,Jennifer Miles,3
9,Traci Tucker,2
10,Dr. Jessica Singleton,9
11,Angela Cooper,3
12,Ryan Jacobs,3
13,Hannah Campos,12
14,Donna Reeves,6
15,Belinda Flores,3
16,Robert Ruiz,11
17,Kyle Montes,9
18,Julia Torres,5
19,John Stephens,11
20,Brian Thomas PhD,10
21,Jennifer Martin,6
22,Scott Austin,3
23,Barbara Martinez,9
24,Elizabeth Adams,9
25,Robert Montoya,12
26,Tyler Smith,2
27,Preston Gonzalez,12
28,Michelle Smith,2
29,Courtney Rodriguez,11
30,Wendy Schaefer,7
31,Robert Alexander,2
32,Andrew Roth,4
33,Reginald Moore,11
34,Mrs. Anne West,3
35,Kimberly Collins,5
36,Kimberly Decker,12
37,Tanya Hill,11
38,Valerie Mercado,2
39,Timothy Johnson,6
40,Courtney Cohen,6
41,Daniel Lowery,2
42,Larry Hubbard,4
43,Jeffrey Saunders,10
44,Rachel Taylor,6
45,Kenneth Taylor DDS,11
46,Johnny Le,3
47,April Johnson,5
48,Crystal Thomas,9
49,Larry Sims,5
50,Grant Rodriguez,10
51,Kimberly Robinson,6
52,Nancy Lewis,12
53,Eugene Williams,10
54,Joseph Taylor,4
55,Elizabeth Hamilton,12
56,Jesus Parker,6
57,Angela Johnson,12
58,Robert Brown,6
59,Joshua Shaw,6
60,Miranda Bridges,3
61,Nicholas Lee,8
62,Thomas Andrews,10
63,Angela George,2
64,Amy Rogers,4
65,Matthew Beltran,12
66,Faith Rivers,2
67,Mary Spears,6
68,Brenda Price,7
69,Dale Roth MD,3
70,Lucas Reynolds,5
71,Juan Walton,11
72,Derek Blanchard,7
73,Karla Lyons,4
74,Daniel Singleton,9
75,Andrea Palmer,2
76,Colleen Cooper,6
77,Jennifer Meyers,5
78,Jennifer Martin,11
79,David Huffman,3
80,Willie Brown,4
81,William Nguyen,11
82,Sarah Pruitt,12
83,Connor Alvarez,3
84,Daniel Davenport,8
85,Erica Rowland,5
86,Tracy Kerr,3
87,Patricia Wilson,3
88,Heather Vasquez,5
89,Gary Cox,9
90,Nicole Gray,5
91,James Bentley,4
92,Theresa Dean,5
93,Laura Rivas,12
94,Kathy Garrison,10
95,Alicia George,6
96,Michael Dawson,8
97,Gail Sanders,7
98,Adam Bradford,8
99,Stephanie Spencer,8
100,Christine Herrera,10
101,Sandra Lawrence,2
102,Joseph Coleman,9
103,Kathleen Forbes,10
104,Monica Summers,5
105,Tina King,8
106,Joseph Bender,9
107,Brittany Hayes,5
108,Cindy Smith,7
109,Tracy Finley,12
110,Brandon Williams,7
111,Joshua Davis,8
112,Rebecca Butler,11
113,Donald Whitaker,3
114,Christopher Castro,9
115,Emily Pittman,10
116,Jonathon Bridges,9
117,Alyssa Mcdaniel,9
118,Tamara Foster,8
119,Crystal Martin,2
120,Jaime Powers,6
121,Molly Swanson,3
122,Michael Stone,6
123,Jeffery Strong,10
124,Hannah Brown,2
125,Kelly Baird,10
126,Nicole Sanchez,12
127,Lisa Powell,3
128,Katie Johnston,11
129,Adam Martinez,4
130,Michael Carter,2
131,Tim Swanson,11
132,Brandon Chapman,5
133,Nicholas Randolph,4
134,Andrea Miller,7
135,Jason Jackson,8
136,Darryl Terry,10
137,Jose Boyer,8
138,Lori Conner,3
139,Denise Mcguire,8
140,Tammy Young,2
141,David Huff,2
142,Andrew Williams,3
143,Stephanie Weber,9
144,Michael Neal,5
145,Patricia Evans,4
146,Alexandra Mckinney,9
147,Jill Choi,4
148,Courtney Cooper,5
149,Calvin Ellis,12
150,Michelle Gomez,5
151,Adam Daniels,9
152,John Lucas,7
153,Christopher Chapman,9
154,Jeffrey Watkins,10
155,George Clark,5
156,Kevin Sanders,12
157,Terry Thornton,11
158,Becky Wells,9
159,Tonya Stokes,2
160,Kathy Brown,8
161,Jeffery Maldonado,9
162,Jeremy Brown,11
163,Anthony Barber,9
164,Lonnie Lam,12
165,Rebecca Bell,6
166,Brian Myers,6
167,Renee Mendoza,11
168,Sara Powell,8
169,Alexis Williams,8
170,Kevin Welch,7
171,Natalie Adkins,4
172,Amanda Garza,11
173,Vanessa Mckenzie,10
174,Brittany Washington,4
175,Jeremy Perry,6
176,Brianna Henderson,9
177,Sarah Richardson,8
178,Tracey Gardner,2
179,David Doyle,2
180,Sherri Lang,3
181,Patricia Jones,2
182,Ronald Morgan,10
183,Victoria Costa,5
184,Lance Galloway,8
185,Michael Nichols,7
186,Dr. Philip Stephens,10
187,Sabrina Thompson,7
188,Paula Lee,5
189,Mitchell Mcdonald,6
190,Crystal Bates,3
191,Kimberly Terrell,9
192,Craig Cameron,2
193,Nicole Meadows,10
194,Kathleen Watkins,2
195,Christian Stephens,12
196,Zachary Reed,8
197,David Graves,3
198,Mr. William Wu,8
199,Joseph Pitts,2
200,Nancy Ross,3
201,Isaiah Castillo,3
202,Jeremy Johnson,2
203,Kari Cook,2
204,Jonathan Snyder,3
205,Sandra Raymond,7
206,Bryan Davis,11
207,Lawrence Thomas,11
208,Kristin Moody,11
209,Melinda Pope,12
210,Brittany Johnson,5
211,Andrew Allen,5
212,Kathy Evans,4
213,Jeff Walter,9
214,Michael Bishop,2
